ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU28,AU43
alone_amusement,0.168841,0.078734,0.518907,0.056576,0.191108,0.527237,0.077608,0.341381,0.367368,0.668449,0.13532,0.360185,0,0.116536,0.112179,0,0.344605,0.321516,0.004961,0
alone_fear,0.161906,0.078743,0.645791,0.057921,0.075159,0.427942,0.06597,0.184976,0.156475,0.449511,0.121625,0.348491,0,0.087002,0.099371,0,0.289183,0.330369,0.002626,0
alone_neutral,0.140221,0.07146,0.471517,0.048867,0.017213,0.312133,0.046696,0.141675,0.12647,0.394964,0.092953,0.28604,0,0.078321,0.073232,0,0.202517,0.247914,0.003667,0
social_amusement,0.167738,0.094093,0.536476,0.058241,0.373229,0.467544,0.066864,0.368103,0.499272,0.646455,0.149553,0.429187,0,0.113418,0.106969,0,0.466106,0.369576,0.006738,0
social_fear,0.156655,0.080571,0.575037,0.059223,0.226583,0.372653,0.069091,0.280581,0.25882,0.421704,0.157127,0.431254,0,0.109826,0.109013,0,0.397325,0.385077,0.00654,0
social_neutral,0.121391,0.06452,0.437664,0.054118,0.163745,0.289627,0.051161,0.201322,0.183526,0.424029,0.119633,0.338737,0,0.098713,0.096187,0,0.283881,0.302895,0.005719,0
