private_id	age	gender	ethnicity	condition	valence	stimulus	valence_self_report	recognize_vid_self_report	recognize_vid_binary	partner_relationship	face_touching	gaze	AU_intensity	AU_activity	AU01	AU02	AU04	AU05	AU06	AU07	AU09	AU10	AU12	AU14	AU15	AU17	AU20	AU23	AU25	AU26	AU45	AU28_c	AU01_c	AU02_c	AU04_c	AU05_c	AU06_c	AU07_c	AU09_c	AU10_c	AU12_c	AU14_c	AU15_c	AU17_c	AU20_c	AU23_c	AU25_c	AU26_c	AU45_c
1665583	37	Female	White	social	neutral	Blue(2)	Neutral	Noneverseenbefore	No	RomanticPartner	No	Partner	0.216920956	0.189338235	0.325891544	0.082408088	0.061194853	0.05890625	0.180496324	0.128667279	0.058575368	0.527086397	0.164733456	0.607987132	0.121829044	0.350588235	0.115496324	0.094393382	0.349246324	0.204365809	0.255790441	0.006433824	0.165441176	0.253676471	0.005514706	0.012867647	0.084558824	0.011029412	0.079044118	0.380514706	0.091911765	0.914522059	0.015625	0.339154412	0.291360294	0.414522059	0.087316176	0.068933824	0.185661765
																																																	
1665583	37	Female	White	social	neutral	Blue(3)	Neutral	Noneverseenbefore	No	RomanticPartner	Yes	Screen	0.132136778	0.157846066	0.082893726	0.047285531	0.277400768	0.04837388	0	0.006043534	0.03049936	0.043098592	0.004135723	0.809475032	0.058028169	0.262586428	0.04290653	0.029871959	0.168553137	0.134839949	0.200332907	0	0	0.011523688	0	0.720870679	0	0	0	0.00128041	0	0.95262484	0	0.04609475	0	0.991037132	0.00128041	0	0.116517286
																																																	
1665583	37	Female	White	social	neutral	TheLover	Neutral	Noneverseenbefore	No	RomanticPartner	Yes	Screen	0.157662972	0.084317993	0.173526119	0.131511194	0.008246269	0.074533582	0.020214552	0.050177239	0.110820896	0.425895522	0.039925373	0.33744403	0.152117537	0.400942164	0.079785448	0.124141791	0.173852612	0.175373134	0.20176306	0	0.063432836	0.083022388	0	0.359141791	0	0	0.060634328	0.023320896	0	0.484141791	0.004664179	0.180970149	0.020522388	0.09608209	0.025186567	0.010261194	0.106343284
																																																	
1741210	20	Female	Mixed/MultipleEthnicGroups	social	amusement	AFishCalledWanda	Pleasant	Noneverseenbefore	No	Friend	Yes	Screen	0.520967541	0.273471146	0.18901339	0.041187456	0.921458774	0.06077167	1.093002114	1.444418605	0.047832981	0.718248767	0.799129669	1.246430585	0.163918252	0.525007047	0.09255814	0.259136716	0.365926709	0.461550388	0.426856942	0.079281184	0.225158562	0.137068358	0.035236082	0.164200141	0.722692037	0.757928118	0	0.966878083	0.091966173	0.519732206	0.246300211	0.336504581	0.100775194	0.014799154	0.014446794	0.24982382	0.259689922
																																																	
1741210	20	Female	Mixed/MultipleEthnicGroups	social	amusement	Benny&Joon	Neutral	Noneverseenbefore	No	Friend	No	Screen	0.334739916	0.203955457	0.117236801	0.095627569	0.663009801	0.057739488	0.507122985	0.618915586	0.022652545	0.708969333	0.477575087	0.851410054	0.12416693	0.402453367	0.128589946	0.086092317	0.187312678	0.291103383	0.350600696	0	0.051533354	0.048371799	0	0.225102751	0.111286753	0.728738539	0	0.992412267	0.024027822	0.825482137	0.10369902	0.09231742	0.076509643	0.004426178	0.073980398	0.061334176	0.251975972
																																																	
1741210	20	Female	Mixed/MultipleEthnicGroups	social	amusement	SomethingAboutMary	Unpleasant	Noneverseenbefore	No	Friend	No	Screen	0.433273481	0.190121752	0.312359576	0.170665285	0.001767956	0.107536832	0.496666667	1.348473757	0.042106354	1.302879834	0.40859116	1.239785912	0.173796041	0.575854052	0.088342541	0.154714549	0.292727901	0.305959945	0.34342081	0.010359116	0.198434622	0.246546961	0	0.160911602	0.235497238	0.004143646	0	0.972836096	0.014963168	0.699815838	0.087016575	0.352440147	0.068830571	0	0.068139963	0.076657459	0.225598527
																																																	
