private_id	age	gender	ethnicity	condition	valence	stimulus	valence_self_report	recognize_vid_self_report	recognize_vid_binary	partner_relationship	face_touching	gaze	AU_intensity	AU_activity	AU01	AU02	AU04	AU05	AU06	AU07	AU09	AU10	AU12	AU14	AU15	AU17	AU20	AU23	AU25	AU26	AU45	AU28_c	AU01_c	AU02_c	AU04_c	AU05_c	AU06_c	AU07_c	AU09_c	AU10_c	AU12_c	AU14_c	AU15_c	AU17_c	AU20_c	AU23_c	AU25_c	AU26_c	AU45_c
2045801	18	Female	White	alone	fear	BlairWitchProject	Unpleasant	Noneverseenbefore	No	NA	No	NA	0.060550767	0.013599034	0.067017391	0.060265217	0.001797826	0.040471739	0	0	0.021756522	0.005065217	0	0.001365217	0.078747826	0.20381087	0.06181087	0.040869565	0.127180435	0.173884783	0.145319565	0	0.014347826	0.017826087	0	0	0	0	0	0.015	0	0	0.043478261	0.074565217	0	0.013478261	0	0	0.066086957
2045801	18	Female	White	alone	fear	CopyCat	Unpleasant	Noneverseenbefore	No	NA	No	NA	0.111614037	0.076604837	0.081672122	0.068649755	0.002114021	0.044088925	0	0.135144572	0.028115112	0.639849973	0	0.015169122	0.088164212	0.194746318	0.075851064	0.069247136	0.144258047	0.201841244	0.108527005	0	0.034642662	0.001091107	0.491543917	0.000545554	0	0.006819422	0	0	0	0	0	0.085106383	0.024277141	0.661483906	0.016639389	0.004091653	0.052645936
2045801	18	Female	White	alone	fear	Misery	Unpleasant	Noneverseenbefore	No	NA	No	NA	0.171291184	0.125697804	0.100498697	0.062344622	0.091183476	0.034162635	0.000340528	0.200364719	0.036155564	0.012212505	0.004302196	0.837045032	0.077482322	0.396749163	0.073489021	0.146808709	0.255519166	0.469532936	0.113758839	0	0.042612579	0.012839598	0.902121325	0.058057313	0	0.017119464	0	0	0	0.78619278	0.020841087	0.268328991	0.005582434	0.009676219	0.021027168	0.005210272	0.112951247
2045801	18	Female	White	alone	fear	TheShining	Unpleasant	Noneverseenbefore	No	NA	Yes	NA	0.061393108	0.020348638	0.071598209	0.055145151	0.000352069	0.049244904	0	1.39E-05	0.026704756	0.00392063	0	0.003520692	0.081644534	0.16555281	0.066686226	0.050086473	0.119564546	0.201837554	0.147810377	0	0.056516368	0.013125386	0	0	0	0	0	0.000772082	0	0	0.058832613	0.074583076	0.002161828	0.083075973	0.002007412	0.000617665	0.074583076
2045801	18	Female	White	alone	neutral	Blue(1)	Neutral	Noneverseenbefore	No	NA	No	NA	0.07946115	0.040941128	0.16011194	0.058526119	0.001268657	0.036940299	0	0.02858209	0.031044776	0.080708955	0	0.003376866	0.10766791	0.258619403	0.052947761	0.069645522	0.097593284	0.177350746	0.186455224	0	0.054104478	0.005597015	0.28358209	0	0	0	0	0	0	0	0.01119403	0.121268657	0	0.035447761	0.037313433	0.02238806	0.166044776
2045801	18	Female	White	alone	neutral	Blue(2)	Neutral	Noneverseenbefore	No	NA	No	NA	0.077894793	0.041324825	0.117721057	0.091103008	0.041741112	0.105414768	0	0.000793072	0.04644485	0	0	0	0.083910665	0.273755697	0.07023701	0.053409298	0.137365542	0.15301732	0.149298086	0	0.100273473	0.017319964	0	0	0	0	0	0	0	0	0	0.185961714	0.014585232	0.314494075	0	0	0.111212397
2045801	18	Female	White	alone	neutral	Blue(3)	Neutral	Noneverseenbefore	No	NA	No	NA	0.068376347	0.03630508	0.081501976	0.035454545	0	0.028616601	0	0.003175231	0.033412385	0.095243742	0	2.64E-05	0.079683794	0.317351779	0.069486166	0.032964427	0.125612648	0.133372859	0.126495389	0	0.014492754	0.0171278	0.025032938	0.214756258	0	0	0	0.011857708	0	0	0.025032938	0.193675889	0.039525692	0.044795784	0	0	0.067193676
2045801	18	Female	White	alone	neutral	TheLover	Neutral	Noneverseenbefore	No	NA	No	NA	0.118129278	0.06187421	0.403867017	0.12079615	0.003342082	0.054435696	0	0.022169729	0.032817148	0.20223972	0.00208224	0.033289589	0.137620297	0.299667542	0.073377078	0.054330709	0.239501312	0.221898513	0.106762905	0.017497813	0.25984252	0.266841645	0.09536308	0	0	0.018372703	0	0	0	0.009623797	0.029746282	0.244094488	0	0.036745407	0.01399825	0.022747157	0.098862642
2046637	18	Female	White	alone	amusement	AFishCalledWanda	Neutral	Noneverseenbefore	No	NA	No	NA	0.282682394	0.225802685	0.082879159	0.02869352	0	0.046630473	0.421246935	0.934399299	0.032311734	0.12841331	0.687681261	1.098294221	0.132325744	0.421639229	0.144255692	0.034381786	0.326217163	0.184003503	0.102227671	0	0.002101576	0	0	0	0.846234676	0.705429072	0	0.180385289	0.708581436	1	0.046234676	0.231523643	0.117338004	0.003502627	0.140805604	0.008756567	0.073555166
2046637	18	Female	White	alone	amusement	Benny&Joon	Neutral	Noneverseenbefore	No	NA	No	NA	0.246719209	0.214447582	0.1293599	0.026724192	0.001352369	0.051214308	0.318948855	0.862190147	0.029341073	0.135855036	0.585393787	0.810442422	0.194101035	0.284364606	0.146636335	0.041813618	0.310837778	0.155123941	0.110527142	0	0.005961719	0	0	0.099780358	0.727643552	0.672105428	0	0.165673047	0.517100722	0.912143081	0.136805773	0.20583621	0.108252275	0.001568874	0.223407593	0	0.083777848
2046637	18	Female	White	alone	amusement	SomethingAboutMary	Neutral	Noneverseenbefore	No	NA	No	NA	0.374504587	0.242930228	0.158632578	0.035983341	0.017996298	0.064271171	0.710164276	1.17240398	0.051103656	0.352829708	0.932524294	1.088338732	0.146890329	0.616453031	0.121476168	0.035277649	0.404736233	0.317600648	0.139895882	0	0.051827857	0.04558075	0.010411846	0.014113836	0.737158723	0.742711708	0	0.431744563	0.636973623	0.760064785	0.08167515	0.322073114	0.11985192	0.000694123	0.295465062	0.001850995	0.120546043
2046637	18	Female	White	alone	amusement	SomethingAboutMary(2)	Neutral	Noneverseenbefore	No	NA	No	NA	0.398124803	0.265715448	0.130777246	0.038411715	0.000140805	0.059557871	0.82130949	1.114643762	0.058349761	0.346209518	1.103872149	1.168783441	0.207465503	0.52588285	0.097209237	0.053368065	0.518076598	0.385142213	0.138921431	0	0.049563503	0.015770206	0	0.001971276	0.804843706	0.787102225	0	0.442128978	0.707969586	0.947057167	0.273162489	0.318783441	0.080259082	0.005068995	0.188397634	0.090960293	0.069839482
2046637	18	Female	White	alone	fear	BlairWitchProject	Neutral	Noneverseenbefore	No	NA	No	NA	0.19035518	0.120372396	0.065108291	0.033642529	0.706029315	0.048906147	0.128702691	0.967221615	0.098978342	0.004355721	0.006827828	0.071098228	0.06565303	0.169678407	0.113156858	0.118437979	0.243730037	0.279997812	0.114513236	0.002625246	0.000656312	0.00415664	0.849485889	0.087070663	0.387661343	0.34784511	0.012032378	0	0.009625902	0.159264931	0.132793699	0.054036316	0.043754102	0.00415664	0.017501641	0.013782542	0.040253774
2046637	18	Female	White	alone	fear	CopyCat	Neutral	Noneverseenbefore	No	NA	No	NA	0.151530875	0.07975347	0.162923795	0.038624158	0.297620529	0.053069984	0.014612753	0.73432452	0.069760498	0.000862623	0.004917574	0.041001555	0.092861586	0.221377916	0.091253499	0.073218248	0.187349922	0.361107309	0.131138414	0.002488336	0.118610679	0.019491965	0.287091757	0.020528771	0.108346293	0.196785899	0.015033696	0	0.00777605	0.089372732	0.036391913	0.038983929	0.079004666	0.019284603	0.068636599	0.10005184	0.227682737
2046637	18	Female	White	alone	fear	Misery	Unpleasant	Noneverseenbefore	No	NA	No	NA	0.084556025	0.036865981	0.13666913	0.047214114	0.049564013	0.072388694	0.002348051	0.434962128	0.020190283	0	0.007197488	0.041184186	0.054051358	0.11680399	0.073781637	0.044478108	0.121666359	0.117496767	0.097456124	0	0.111583226	0.018474044	0.074819878	0.005911694	0.02087567	0.040827637	0	0	0.013301312	0.165527434	0.001108443	0.002955847	0.080546832	0.002771107	0.04618511	0.003510068	0.075189359
